Time,AvatarA,AvatarB,Distance,nCrosses,n_shadow1,n_shadow2,n_stat1,n_stat2,clickA,clickB
0.04,71,1224,-1153,0,0,0,0,0,0.0,0.0
0.08,72,1228,-1156,0,0,0,0,0,0.0,0.0
0.12,73,1232,-1159,0,0,0,0,0,0.0,0.0
0.16,74,1236,-1162,0,0,0,0,0,0.0,0.0
0.2,75,1240,-1165,0,0,0,0,0,0.0,0.0
0.24,76,1244,-1168,0,0,0,0,0,0.0,0.0
0.28,77,1248,-1171,0,0,0,0,0,0.0,0.0
0.32,78,1252,-1174,0,0,0,0,0,0.0,0.0
0.36,79,1256,-1177,0,0,0,0,0,0.0,0.0
0.4,79,1260,-1181,0,0,0,0,0,0.0,0.0
0.44,79,1264,-1185,0,0,0,0,0,0.0,0.0
0.48,79,1268,-1189,0,0,0,0,0,0.0,0.0
0.52,79,1272,-1193,0,0,0,0,0,0.0,0.0
0.56,79,1276,-1197,0,0,0,0,0,0.0,0.0
0.6,79,1280,-1201,0,0,0,0,0,0.0,0.0
0.64,79,1284,-1205,0,0,0,0,0,0.0,0.0
0.68,79,1288,-1209,0,0,0,0,0,0.0,0.0
0.72,79,1292,-1213,0,0,0,0,0,0.0,0.0
0.76,79,1296,-1217,0,0,0,0,0,0.0,0.0
0.8,79,1300,-1221,0,0,0,0,0,0.0,0.0
0.84,79,1304,-1225,0,0,0,0,0,0.0,0.0
0.88,79,1308,-1229,0,0,0,0,0,0.0,0.0
0.92,79,1312,-1233,0,0,0,0,0,0.0,0.0
0.96,79,1316,-1237,0,0,0,0,0,0.0,0.0
1.0,79,1320,-1241,0,0,0,0,0,0.0,0.0
1.04,79,1324,-1245,0,0,0,0,0,0.0,0.0
1.08,79,1328,-1249,0,0,0,0,0,0.0,0.0
1.12,79,1332,-1253,0,0,0,0,0,0.0,0.0
1.16,79,1336,-1257,0,0,0,0,0,0.0,0.0
1.2,80,1340,-1260,0,0,0,0,0,0.0,0.0
1.24,81,1344,-1263,0,0,0,0,0,0.0,0.0
1.28,83,1348,-1265,0,0,0,0,0,0.0,0.0
1.32,85,1352,-1267,0,0,0,0,0,0.0,0.0
1.36,87,1356,-1269,0,0,0,0,0,0.0,0.0
1.4,89,1360,-1271,0,0,0,0,0,0.0,0.0
1.44,91,1364,-1273,0,0,0,0,0,0.0,0.0
1.48,93,1368,-1275,0,0,0,0,0,0.0,0.0
1.52,95,1372,-1277,0,0,0,0,0,0.0,0.0
1.56,97,1376,-1279,0,0,0,0,0,0.0,0.0
1.6,99,1380,-1281,0,0,0,0,0,0.0,0.0
1.64,101,1384,-1283,0,0,0,0,0,0.0,0.0
1.68,103,1388,-1285,0,0,0,0,0,0.0,0.0
1.72,105,1392,-1287,0,0,0,0,0,0.0,0.0
1.76,107,1396,-1289,0,0,0,0,0,0.0,0.0
1.8,109,1400,-1291,0,1,0,0,0,0.0,0.0
1.84,111,1404,-1293,0,1,0,0,0,0.0,0.0
1.88,113,1408,-1295,0,1,0,0,0,0.0,0.0
1.92,116,1412,-1296,0,1,0,0,0,0.0,0.0
1.96,119,1416,-1297,0,1,0,0,0,0.0,0.0
2.0,122,1420,-1298,0,1,0,0,0,0.0,0.0
2.04,125,1424,-1299,0,1,0,0,0,0.0,0.0
2.08,128,1428,-1300,0,1,0,0,0,0.0,0.0
